@relation Features4-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NumericToNominal-R41-42-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute RMS_l numeric
@attribute RMS_r numeric
@attribute Std_dev_l numeric
@attribute Std_dev_r numeric
@attribute COR numeric
@attribute mean_dist_pks_l numeric
@attribute mean_val_pks_l numeric
@attribute no_of_pks_l numeric
@attribute mean_dist_pks_r numeric
@attribute mean_val_pks_r numeric
@attribute no_of_pks_r numeric
@attribute RMS_pks_l numeric
@attribute RMS_pks_r numeric
@attribute mean_dist_bot_l numeric
@attribute mean_val_bot_l numeric
@attribute no_of_bot_l numeric
@attribute mean_dist_bot_r numeric
@attribute mean_val_bot_r numeric
@attribute no_of_bot_r numeric
@attribute RMS_bot_l numeric
@attribute RMS_bot_r numeric
@attribute Change_l numeric
@attribute Change_r numeric
@attribute RMS_FFT_l numeric
@attribute RMS_FFT_r numeric
@attribute Var_FFT_l numeric
@attribute Var_FFT_r numeric
@attribute Max_FFT_l numeric
@attribute Max_FFT_r numeric
@attribute Min_FFT_l numeric
@attribute Min_FFT_r numeric
@attribute Max_powerL numeric
@attribute Max_powerR numeric
@attribute RMS_PSD_l numeric
@attribute RMS_PSD_r numeric
@attribute Age numeric
@attribute Height numeric
@attribute Weight numeric
@attribute Gender {f,m}
@attribute Gaitspeed numeric
@attribute State {1,2}
@attribute Types {1,2,3,4}

@data
0.488816,0.50409,0.797974,0.806373,0.176144,0.875413,0.999278,0.09589,0.94132,0.837443,0.029412,0.92061,0.477931,0.92717,0.698143,0.053333,0.799225,0.908918,0.138889,0.646883,0.906272,0.283703,0.395846,0.458714,0.422881,0.349941,0.294517,1,0.078778,0.931981,0.71059,0.213631,0.099055,0.234748,0.144352,0.616667,0.660714,0.823655,f,0.611111,1,1
0.709209,0.514733,0.235116,0.228666,0.729954,0.194236,0.061561,0.739726,0.132802,0.351473,0.823529,0.375369,0.298233,0.163144,0.740183,0.76,0.11126,0.750426,0.847222,0.69297,0.749361,0.950796,0.702492,0.815587,0.524462,0.749693,0.393288,0.205331,0.028421,0.103409,0.403601,0.813125,0.381689,0.806294,0.368888,0.8,0.416071,0.689571,m,0.588889,2,2
0,0.699677,0.400561,0.258006,0.291444,0.417592,0.654535,0.479452,0.485208,0.33053,0.426471,0.702684,0.325623,0.530181,0,0.373333,0.549002,0.799004,0.347222,0,0.817151,0.102588,0.744222,0.039823,0.683668,0.023129,0.569909,0.250023,0.090303,0.875301,0.267696,0.000153,0.558594,0.032786,0.549808,0.366667,0.517857,0.474004,m,0.888889,2,3
0.870917,0.489137,0.665287,0.889538,0.059226,0.804413,0.500907,0.150685,0.884428,0.950275,0.073529,0.116179,0.588207,0.893873,0.995468,0.08,0.77331,0.786085,0.152778,1,0.779099,0.802543,0.242497,0.731736,0.237034,0.645739,0.141896,0.408868,0.243022,0.248444,0.827179,0.581383,0.048943,0.597825,0.094266,0.95,0.767857,0.686835,m,0.333333,2,4
1,0.242128,0.440337,0.535569,0.19221,0.779796,0.216441,0.164384,0.820059,0.937665,0.117647,0.047316,0.577523,0.813289,1,0.133333,0.676646,0.456694,0.236111,0.997013,0.456462,1,0.083053,1,0.162571,1,0.090974,0.364647,0.158894,0,0.839844,1,0.028565,1,0.032327,0.033333,0.660714,0.4436,m,0.722222,1,1
0.180196,0.223244,0.578376,0.602028,0.122128,1,0.90804,0,1,0.971722,0,0.757985,0.616964,0.918048,0.396866,0.053333,0.767799,0.348178,0.166667,0.271098,0.327495,0.166157,0,0.227648,0.139495,0.150653,0.076361,0.732156,0.24183,0.953401,0.897815,0.103016,0.056134,0.17569,0.081224,0.716667,0.464286,0.655214,m,0.523016,2,2
0.497345,0.422251,0.591524,0.422005,0.160954,0.391774,0.635815,0.506849,0.257965,0.555252,0.676471,0.315487,0.093343,0.315493,0.754738,0.586667,0.258862,0.717391,0.638889,0.700598,0.707674,0.566349,0.522705,0.533108,0.414503,0.424072,0.286871,0.339622,0.136549,0.527425,0.553977,0.235271,0.222982,0.238558,0.209242,0.35,0.375,0.261174,f,0.388889,2,3
0.841869,0.450331,0.446751,0.450683,0.140397,0.639898,0.186725,0.273973,0.781534,0.557842,0.161765,0.260009,0.026282,0.707922,0.775704,0.213333,0.708371,0.570597,0.208333,0.804795,0.644286,0.88633,0.44509,0.851678,0.410883,0.796304,0.283584,0.272339,0.395792,0.118352,0.541117,0.787611,0.235034,0.787538,0.225315,0.4,0.178571,0.200365,f,0.555556,2,4
0.742252,0.467827,0.92072,0.637084,0.168403,0.933804,1,0.054795,0.86541,0.70907,0.088235,0.923217,0.286482,1,0.937728,0,1,0.846077,0,0.933555,0.847598,0.426357,0.466055,0.632104,0.417749,0.530166,0.289831,0.465968,0.612151,0.718152,0.626207,0.213564,0.160583,0.296902,0.171103,0.05,0.464286,0.382791,f,0.698413,1,1
0.68732,0.385372,0.648727,0.590318,0.08313,0.21465,0.546693,0.712329,0.126951,0.736678,0.838235,0.224876,0.281918,0.174092,0.782434,0.76,0.120048,0.7403,0.819444,0.750014,0.753898,0.643912,0.389564,0.606807,0.294011,0.502283,0.18485,0.325292,0.081835,0.399301,0.689883,0.377943,0.11302,0.381945,0.102503,0.833333,0,0,f,0.23254,2,2
